专家名字,彩龄,发文量,大乐透一等奖次数,大乐透二等奖次数,大乐透三等奖次数,最近10次大乐透平均得分
金牡丹,10,2980,4,5,6,132.0
超彩人生,18,3431,2,5,8,177.0
仁杰胆,15,1961,1,2,3,234.0
六哥有数,8,628,1,3,5,133.0
天舟,8,797,4,1,12,251.0
神秘的第六感,13,3588,3,4,11,144.5
乾坤坎离,8,3695,0,5,18,236.5
山水之间,8,2226,,,,0.0
彩华大盗,11,2235,,,,0.0
林雪儿,1,682,2,0,5,135.5
太乙真人,8,899,3,7,20,297.5
身如静湖,6,1802,1,5,13,189.0
热心彩民张三,1,4073,5,3,15,187.0
我是站主,13,2446,,,,0.0
无空,7,1560,1,5,16,192.5
手可摘星辰,7,938,2,5,12,231.5
聪明组合,15,2598,4,4,12,181.0
烈焰推荐,15,1904,2,2,16,135.0
一不小心中大奖,10,2228,4,2,7,224.5
山外有山,8,2272,5,5,7,233.0
猴子偷桃,10,955,3,8,15,227.0
专业玩彩001,10,2578,,,,75.0
东方人,16,2361,5,3,7,197.5
拳击,13,2381,2,2,10,247.0
司徒摘星,12,698,2,4,4,223.5
神多彩,12,2991,1,8,19,177.0
神彩奇缘,15,1052,2,3,19,230.5
空万里,9,2709,4,2,16,118.5
神秘力量,6,2376,7,3,13,219.0
财运一号,9,2538,5,3,16,215.5
神采飞昂,9,3284,2,5,14,148.0
云彩霞,10,3356,4,4,12,130.0
看彩精英,9,3347,6,2,14,129.0
藏獒彩,10,3262,3,5,14,173.5
cky1688,16,4135,3,5,22,169.0
乐透惊喜,17,1254,4,4,14,273.5
彩神夏洛克,12,968,0,1,3,213.0
吉吉神通,18,1271,6,2,26,230.5
风水八卦,1,5229,3,5,21,189.0
